id,name_id,variable,departure,arrival,time,airport_dep,airport_arri,selection
1,1,"X(1,2)",1:55:00 AM,5:25:00 AM,03h 30m,Colombo(CMB),Dubai Int. (DXB),0
2,1,"X(1,3)",2:55:00 AM,5:55:00 AM,03h 00m,Colombo(CMB),Dubai Int. (DXB),0
3,1,"X(1,4)",9:55:00 AM,12:50:00 PM,02h 55m,Colombo(CMB),Dubai Int. (DXB),0
4,1,"X(1,5)",9:30:00 AM,1:10:00 PM,03h 40m,Colombo(CMB),Dubai Int. (DXB),0
5,1,"X(1,6)",1:25:00 PM,4:40:00 PM,03h 15m,Colombo(CMB),Dubai Int. (DXB),0
6,1,"X(1,7)",6:40:00 PM,9:50:00 PM,03h 10m,Colombo(CMB),Dubai Int. (DXB),0
7,1,"X(1,11)",12:45:00 AM,7:15:00 AM,06h 30m,Colombo(CMB),"Changi, Singapore (SIN)",0
8,1,"X(1,12)",1:10:00 AM,7:40:00 AM,06h 30m,Colombo(CMB),"Changi, Singapore (SIN)",0
9,1,"X(1,13)",12:15:00 PM,6:45:00 PM,06h 30m,Colombo(CMB),"Changi, Singapore (SIN)",1
10,1,"X(1,16)",3:25:00 AM,6:10:00 AM,02h 45m,Colombo(CMB),"Doha, Qatar (DOH)",0
11,1,"X(1,17)",4:25:00 AM,7:10:00 AM,02h 45m,Colombo(CMB),"Doha, Qatar (DOH)",0
12,1,"X(1,18)",10:15:00 AM,1:00:00 PM,02h 45m,Colombo(CMB),"Doha, Qatar (DOH)",0
13,1,"X(1,19)",11:15:00 AM,2:00:00 PM,02h 45m,Colombo(CMB),"Doha, Qatar (DOH)",0
14,1,"X(1,20)",8:15:00 PM,11:00:00 PM,02h 45m,Colombo(CMB),"Doha, Qatar (DOH)",0
15,1,"X(1,23)",11:00:00 PM,5:10:00 AM,06h 10m,Colombo(CMB),"Kuala Lumpur, Malaysia (KUL)",0
16,1,"X(1,24)",12:25:00 AM,6:40:00 AM,06h 15m,Colombo(CMB),"Kuala Lumpur, Malaysia (KUL)",0
17,1,"X(1,25)",12:40:00 AM,6:55:00 AM,06h 15m,Colombo(CMB),"Kuala Lumpur, Malaysia (KUL)",0
18,1,"X(1,26)",7:30:00 AM,1:45:00 PM,06h 15m,Colombo(CMB),"Kuala Lumpur, Malaysia (KUL)",0
